"nome_fantasia","data_inicio_atividades","cnae_fiscal","cep","municipio","porte","dist_1","dist_2","dist_3","dist_4"
"BANGU","19850212","9430800","44300000","3397","5","NaN","NaN","NaN","NaN"
"BANHO E TOSA LUNA STAR","20100517","9609208","40285000","3849","1","NaN","NaN","NaN","NaN"
"BANHO E TOSA STILO CANINO","20101125","9609208","40820190","3849","1","NaN","NaN","NaN","NaN"
"BAR & RESTAURANTE SAO JORGE","20080407","5611201","40310010","3849","1","NaN","NaN","NaN","NaN"
"BAR BUDO","20090320","5611204","41213560","3849","1","NaN","NaN","NaN","NaN"
"BAR CANTINHO DO BO","19910807","4723700","41231010","3849","1","NaN","NaN","NaN","NaN"
"BAR DA TIA","20090216","4723700","41330000","3849","1","NaN","NaN","NaN","NaN"
"BAR DA VAL","20060116","5611201","40100160","3849","1","NaN","NaN","NaN","NaN"
"BAR DO BOEMIO","19920528","4723700","46690000","3301","1","NaN","NaN","NaN","NaN"
"BAR DO CARIOCA","20140602","5611204","48490000","3575","1","NaN","NaN","NaN","NaN"
"BAR DO FERA","20061218","4723700","40451360","3849","1","NaN","NaN","NaN","NaN"
"BAR DO JOSMARIO","20110119","4723700","44720000","3725","1","NaN","NaN","NaN","NaN"
"BAR DO MANASSES","20100506","5611204","45836000","3613","1","NaN","NaN","NaN","NaN"
"BAR DO NEGAO","19911031","5611204","41710040","3849","1","NaN","NaN","NaN","NaN"
"BAR DO REGE","20060919","5611204","44076050","3515","1","NaN","NaN","NaN","NaN"
"BAR DO TIGRE","20101209","5611204","45065125","3965","1","NaN","NaN","NaN","NaN"
"BAR DOCE MISTERIO","19980303","5611204","41250570","3849","1","NaN","NaN","NaN","NaN"
"BAR E CHURRASCARIA 2 DE JULHO","20061116","5611201","44090156","3515","1","NaN","NaN","NaN","NaN"
"BAR E LANCHONETE BOM GOSTO","20010522","5510801","47600000","3377","5","NaN","NaN","NaN","NaN"
"BAR E LANCHONETE CARLOS CHAGAS","19940809","5611204","45910000","3315","1","NaN","NaN","NaN","NaN"
"BAR E LANCHONETE DO ALCIDES","20050124","5611204","41905655","3849","1","NaN","NaN","NaN","NaN"
"BAR E LANCHONETE ESTRELA","20070206","4723700","44053612","3515","1","NaN","NaN","NaN","NaN"
"BAR E LANCHONETE O PONTO CHIC","19860414","5611203","45028135","3965","1","NaN","NaN","NaN","NaN"
"BAR E LANCHONETE POPULAR.","20101025","5611204","45968000","3723","1","NaN","NaN","NaN","NaN"
"BAR E MERCEARIA ALEXANDRE","19931006","4712100","44150000","3851","1","NaN","NaN","NaN","NaN"
"BAR E MERCEARIA BOCA PRETA","20030922","4712100","45807000","3855","1","NaN","NaN","NaN","NaN"
"BAR E MERCEARIA DA ROSA","20120119","4712100","41298800","3849","1","NaN","NaN","NaN","NaN"
"BAR E MERCEARIA DO FIOTE","20111107","4712100","46430000","3533","1","NaN","NaN","NaN","NaN"
"BAR E MERCEARIA DO RONALDO","20100917","4712100","48030050","3313","1","NaN","NaN","NaN","NaN"
"BAR E MERCEARIA DO VAL","19971028","4712100","41339300","3849","1","NaN","NaN","NaN","NaN"
"BAR E MERCEARIA KARLA","19770117","5510803","44077005","3515","1","NaN","NaN","NaN","NaN"
"BAR E MERCEARIA SANTO ANTONIO","20000410","4712100","40725330","3849","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE BATE PAPO","20040324","4729699","40015180","3849","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE COPO CHEIO","19920730","4723700","40243100","3849","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE DIAS","19951031","5611201","40025001","3849","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE DO CARECA","20110720","5611201","44010025","3515","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE FRUTOS DO MAR","20041018","5611201","48180000","3509","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE JARDIM FLORIDA","20100224","5611204","48902785","3669","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE MARACAS","20080227","5611201","40411015","3849","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE PINHEIRO","20080312","5611201","44002168","3515","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE Q' DELICIA","20070601","5611201","41213000","3849","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE RAIARA","19971222","4723700","44320000","3463","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE RIBEIRO","19730615","4712100","46640000","3645","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE SETE ILHAS","20070511","5611204","47650000","3485","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE TRES AMORES","20041007","5611201","48290000","3619","1","NaN","NaN","NaN","NaN"
"BAR E RESTAURANTE VIP","20100806","5611201","44550000","3881","1","NaN","NaN","NaN","NaN"
"BAR EVOLUTION","20071119","5611204","40487000","3849","1","NaN","NaN","NaN","NaN"
"BAR FERRO DE ENGOMAR","20110418","5611204","44002205","3515","1","NaN","NaN","NaN","NaN"
"BAR LANCHONETE E RESTAURANTE SAUDADES D OCE","19920124","322101","42700130","3685","1","NaN","NaN","NaN","NaN"
"BAR MERCEARIA E ACOUGUE DOS AMIGOS","20010221","4712100","47850000","1112","1","NaN","NaN","NaN","NaN"
"BAR POR ACASO","20111031","5611201","40026110","3849","1","NaN","NaN","NaN","NaN"
"BAR RODRIGUES","19830407","5611203","46170000","3835","1","NaN","NaN","NaN","NaN"
"BAR SAO JORGE","20110318","5611204","41185055","3849","1","NaN","NaN","NaN","NaN"
"BAR UAI BODE","20061215","5611201","41745037","3849","5","NaN","NaN","NaN","NaN"
"BAR ULISSES","20100601","5611204","40301280","3849","1","NaN","NaN","NaN","NaN"
"BAR VERMELHO","19970129","4763603","44245000","3469","1","NaN","NaN","NaN","NaN"
"BAR LANCHONETE E PIZZARIA DON CALIARI","19981116","5611203","47600000","3377","1","NaN","NaN","NaN","NaN"
"BARAO CORRETORA DE SEGUROS","20071019","6619302","44002168","3515","1","NaN","NaN","NaN","NaN"
"BARAUNA NEVES CONSTRUCOES","20050712","8121400","45807000","3855","1","NaN","NaN","NaN","NaN"
"BARBARA ACESSORIOS","20101104","4781400","41720025","3849","1","NaN","NaN","NaN","NaN"
"BARBEARIA DO ALEX","20081107","9602501","40226590","3849","1","NaN","NaN","NaN","NaN"
"BARBEARIA SANTO AMARO","20140604","9602501","40050565","3849","1","NaN","NaN","NaN","NaN"
"BARBERGIL","20101105","9602501","40385025","3849","1","NaN","NaN","NaN","NaN"
"BARBOSA E RAINER ADVOGADOS ASSOCIADOS S/C","20030227","6911701","45996001","3993","5","NaN","NaN","NaN","NaN"
"BARDAUE LANCHES","19821026","5611203","41510867","3849","3","NaN","NaN","NaN","NaN"
"BARRA CORRETORA","20060127","6622300","46650000","3355","1","NaN","NaN","NaN","NaN"
"BARRA DANCE PRODUCOES E ENTRETENIMENTOS","20091110","9001902","46650000","3355","1","NaN","NaN","NaN","NaN"
"BARRA DO GARCA DISTRIBUIDORA DE PETROLEO","20091007","4732600","45997055","3993","5","NaN","NaN","NaN","NaN"
"BARRA FRIOS","20110120","4637199","44990000","3359","1","NaN","NaN","NaN","NaN"
"BARRA GRANDE FERIAS","20011206","7911200","45520000","3715","1","NaN","NaN","NaN","NaN"
"BARRA LUZ","19990406","8299799","44990000","3359","1","NaN","NaN","NaN","NaN"
"BARRA PLACAS","20091026","3299003","46650000","3355","1","NaN","NaN","NaN","NaN"
"BARRA'S RESTAURANTE","20040928","5611201","40140310","3849","1","NaN","NaN","NaN","NaN"
"BARRACA BURACO DA VELHA","20010927","4789099","42700130","3685","1","NaN","NaN","NaN","NaN"
"BARRACA DA CELY","20061214","5611201","41680000","3849","1","NaN","NaN","NaN","NaN"
"BARRACA DA IVONETE","20030404","4724500","45000560","3965","1","NaN","NaN","NaN","NaN"
"BARRACA DO JOEL","20060818","5611204","41750240","3849","1","NaN","NaN","NaN","NaN"
"BARRACA ENCONTRO DOS CORNOS","20140604","5611204","42700130","3685","1","NaN","NaN","NaN","NaN"
"BARRACA FLOR DE LIRIO","20060113","5612100","42700130","3685","1","NaN","NaN","NaN","NaN"
"BARRACA SETE SABORES","20111025","5612100","41500660","3849","1","NaN","NaN","NaN","NaN"
"BARRACA TATA","19750422","4774100","45400000","3957","1","NaN","NaN","NaN","NaN"
"BARRACA TRIBOA","19950330","5611201","45810000","3807","1","NaN","NaN","NaN","NaN"
"BARRACAO TROPICAL","20040206","4712100","46860000","3537","3","NaN","NaN","NaN","NaN"
"BARREFOGO EQUIPAMENTOS","20110310","3314710","47800632","3363","1","NaN","NaN","NaN","NaN"
"BARREIRAS CAFE","20101027","1081302","47800873","3363","1","NaN","NaN","NaN","NaN"
"BARREIRAS CARTUCHOS","20070920","4751201","47850000","1112","3","NaN","NaN","NaN","NaN"
"BARREIRAS DIRECOES","20051226","4530703","47801651","3363","1","NaN","NaN","NaN","NaN"
"BARREIRAS INFORMATICA","20120328","4751201","47800166","3363","5","NaN","NaN","NaN","NaN"
"BARREIRAS MODAS","20010214","4781400","47800175","3363","1","NaN","NaN","NaN","NaN"
"BARREIRINHAS FRANGOS E FRIOS","20090505","4721103","47806430","3363","1","NaN","NaN","NaN","NaN"
"BARRETAO MATERIAL DE CONSTRUCAO","20080122","4744005","45200390","3661","1","NaN","NaN","NaN","NaN"
"BARRETO CONSTRUCOES","20050415","4744099","45985128","3993","1","NaN","NaN","NaN","NaN"
"BARRETO SUPERMERCADOS","19960722","4712100","44052005","3515","1","NaN","NaN","NaN","NaN"
"BARRETO TI","20100327","6209100","44900000","3593","1","NaN","NaN","NaN","NaN"
"BARRETOS REPRESENTACOES","20091005","8211300","44076020","3515","1","NaN","NaN","NaN","NaN"
"BARRO DURO MATERIAIS DE CONSTRUCAO","20100510","4744099","44960000","3563","1","NaN","NaN","NaN","NaN"
"BARROS ACARTONADO","20090625","4330403","48970000","3901","1","NaN","NaN","NaN","NaN"
"BARROS FORMACAO PEDAGOGICA","20110905","8599604","45365000","3291","1","NaN","NaN","NaN","NaN"
"BARROS SERVICOS","20100422","8299707","47810683","3363","1","NaN","NaN","NaN","NaN"
"BARROS TRANSPORTES SERVICOS","20010524","4299599","44230000","3321","1","NaN","NaN","NaN","NaN"
"BARROS VEICULOS","19970103","4520001","45065010","3965","1","NaN","NaN","NaN","NaN"
"BARTOLA AGUA MINERAL E GAS","20101015","5612100","41180015","3849","1","NaN","NaN","NaN","NaN"
"BARUCK TECNOLOGIA","20070129","8211300","47802470","3363","1","NaN","NaN","NaN","NaN"
"BARUK MS","19880223","4789005","48120000","3805","1","NaN","NaN","NaN","NaN"
"BASE COMUNICACAO & MARKETING","20070316","5812301","46100000","3391","1","NaN","NaN","NaN","NaN"
"BASE CONSTRUCOES","20080718","4530703","46490000","3569","1","NaN","NaN","NaN","NaN"
"BASE CONSULTORIA E PRESTACAO DE SERVIOS","20070606","8599699","40280000","3849","1","NaN","NaN","NaN","NaN"
"BASE COSMETICOS","20041220","4772500","42700130","3685","1","NaN","NaN","NaN","NaN"
"BASE NAVAL DE ARATU","19751210","8422100","40800971","3849","5","NaN","NaN","NaN","NaN"
"BASSI & BELLOTTI DO BRASIL LTDA","20101112","6810201","40015070","3849","5","NaN","NaN","NaN","NaN"
"BASSI SERVICOS DE SAUDE E BEM ESTAR","20101201","8630503","43850000","3889","1","NaN","NaN","NaN","NaN"
"BASTOS CENTRO VETERINARIO","20080610","7500100","45848000","3279","1","NaN","NaN","NaN","NaN"
"BASTOS TRANSPORTES","20030220","4923002","48010970","3313","1","NaN","NaN","NaN","NaN"
"BATE SERVICOS E EVENTOS","20050805","9001902","44245000","3469","1","NaN","NaN","NaN","NaN"
"BATEIA REPRESENTACOES DE JOIAS","20110829","4789001","41710705","3849","1","NaN","NaN","NaN","NaN"
"BATISTA","19941130","9491000","46190000","3773","5","NaN","NaN","NaN","NaN"
"BATISTA & SANTOS REPRESENTACOES","20080704","4619200","44034084","3515","1","NaN","NaN","NaN","NaN"
"BATISTA CONTABILIDADE","20111205","6920601","44700000","3651","1","NaN","NaN","NaN","NaN"
"BATSUL COMERCIO DE BATERIAS","19990503","4530703","47850000","1112","1","NaN","NaN","NaN","NaN"
"BAVIERA VECULOS","20111109","7490104","45600298","3597","5","NaN","NaN","NaN","NaN"
"BAZAR ANA CLARA A MIDIA DO SUCESSO","20040210","4713002","45400000","3957","1","NaN","NaN","NaN","NaN"
"BAZAR ARAGAO","19990512","4712100","45570000","3579","1","NaN","NaN","NaN","NaN"
"BAZAR BAHIA","20051201","4646001","45200100","3661","1","NaN","NaN","NaN","NaN"
"BAZAR CAMARGO","19881109","4755502","45700000","3629","1","NaN","NaN","NaN","NaN"
"BAZAR CARVALHO","20070417","4781400","46165000","3501","1","NaN","NaN","NaN","NaN"
"BAZAR CENTER","19960902","4712100","45490000","3677","3","NaN","NaN","NaN","NaN"
"BAZAR DA IRA","20110218","4781400","41611140","3849","1","NaN","NaN","NaN","NaN"
"BAZAR E MERCADINHO CARLOS PIO","20000714","4712100","44190000","3875","1","NaN","NaN","NaN","NaN"
"BAZAR INEDUAL","20001011","4754701","45855000","3627","1","NaN","NaN","NaN","NaN"
"BAZAR MACEDO","19830111","4789099","45653600","3573","1","NaN","NaN","NaN","NaN"
"BAZAR MUNIZ","20040210","4755502","46330000","3689","1","NaN","NaN","NaN","NaN"
"BAZAR RAMOS","20071106","4789001","45680000","3953","1","NaN","NaN","NaN","NaN"
"BAZAR SANTA RITA","19910920","4755502","48790000","3937","1","NaN","NaN","NaN","NaN"
"BAZAR SANTA RITA","19920220","4772500","44420000","3713","3","NaN","NaN","NaN","NaN"
"BAZAR SENHOR DOS PASSOS","20000525","4781400","45604425","3597","1","NaN","NaN","NaN","NaN"
"BAZAR SHOPPING SAT","19980803","4754701","44300000","3397","3","NaN","NaN","NaN","NaN"
"BB SOM EQUIPADORA","20110315","4530703","44700000","3651","1","NaN","NaN","NaN","NaN"
"BB VEDACOES","20110616","4663000","40450380","3849","1","NaN","NaN","NaN","NaN"
"BBC","19870323","8593700","45200280","3661","1","NaN","NaN","NaN","NaN"
"BBFC DO POVAO","20061125","8291100","44700000","3651","1","NaN","NaN","NaN","NaN"
"BBI - BRUM BUSINESS INTELLIGENCE","20110321","6920601","41820560","3849","1","NaN","NaN","NaN","NaN"
"BBW HOTEIS","20050915","5510801","45807970","3855","5","NaN","NaN","NaN","NaN"
"BCC","19900115","4789099","45600921","3597","5","NaN","NaN","NaN","NaN"
"BCN DEPOSITO DE BEBIDAS","20050502","4712100","41342822","3849","1","NaN","NaN","NaN","NaN"
"BDN BANCO DE NEGOCIOS","20020522","4619200","42707650","3685","1","NaN","NaN","NaN","NaN"
"BEACH FASHION","20060123","4781400","40301155","3849","1","NaN","NaN","NaN","NaN"
"BEATRIZ","20090514","4781400","47600000","3377","3","NaN","NaN","NaN","NaN"
"BEBE & CIA","20060504","4781400","47800154","3363","1","NaN","NaN","NaN","NaN"
"BEBE DISTRIBUIDOR DE FRUTAS E VERDURAS","20090423","4724500","48750000","3823","1","NaN","NaN","NaN","NaN"
"BEBIDAS IDEAL","19900424","1122401","46100000","3391","1","NaN","NaN","NaN","NaN"
"BECA TRANSPORTES","20110815","4930202","45700000","3629","1","NaN","NaN","NaN","NaN"
"BECKMANSEG E MANUTENCAO PREDIAL","20100407","4751201","41820770","3849","1","NaN","NaN","NaN","NaN"
"BECO DAS CORES","19971113","8112500","45810000","3807","5","NaN","NaN","NaN","NaN"
"BEGE POLIDO","20090721","810003","44718000","3017","1","NaN","NaN","NaN","NaN"
"BEIJA FLOR CONSTRUCOES","20110411","4299599","46100000","3391","5","NaN","NaN","NaN","NaN"
"BEIJA FRUTAS","20051104","4724500","48903970","3669","1","NaN","NaN","NaN","NaN"
"BEIJU DOIS IRMAOS","20090327","1063500","44380000","3495","1","NaN","NaN","NaN","NaN"
"BEL REFRIGERACAO","20010420","3314707","47400000","3971","1","NaN","NaN","NaN","NaN"
"BELA LIZ","20100211","4789001","40375017","3849","1","NaN","NaN","NaN","NaN"
"BELA MASSA DELICATESSEN","19960627","4721102","43700000","3913","1","NaN","NaN","NaN","NaN"
"BELA VISTA COMERCIO DE GAS","20020205","4784900","45997025","3993","1","NaN","NaN","NaN","NaN"
"BELA VISTA MATERIAIS P CONSTRUCAO E SERVICOS ELETRICOS","20140513","4744099","46500000","3697","1","NaN","NaN","NaN","NaN"
"BELA VOCE","20110705","9602502","48280000","3721","1","NaN","NaN","NaN","NaN"
"BELEM AUTOMOVEIS","20070815","4511101","47800148","3363","1","NaN","NaN","NaN","NaN"
"BELETENCE BIJUTERIAS E VARIEDADES","20071024","4789001","48700000","3909","1","NaN","NaN","NaN","NaN"
"BELEZA & CIA","20100925","9602501","44655000","3981","1","NaN","NaN","NaN","NaN"
"BELEZA ANIMAL","20030430","9609208","45400000","3957","1","NaN","NaN","NaN","NaN"
"BELEZA NATURAL","20090924","4772500","44790000","3419","1","NaN","NaN","NaN","NaN"
"BELEZA PURA","20081003","4772500","40366110","3849","1","NaN","NaN","NaN","NaN"
"BELEZA PURA","20080617","9602502","48700000","3909","1","NaN","NaN","NaN","NaN"
"BELEZA VIP","20061113","4755502","42800420","3413","1","NaN","NaN","NaN","NaN"
"BELINCANTO - COMERCIO","20101221","4781400","40070200","3849","1","NaN","NaN","NaN","NaN"
"BELISSIMA ESMALTERIA","20140602","9602501","45200415","3661","1","NaN","NaN","NaN","NaN"
"BELISSIMA PERFUMARIA","20051121","4772500","45820080","3117","3","NaN","NaN","NaN","NaN"
"BELL CALCADOS","20110324","4782201","41610680","3849","1","NaN","NaN","NaN","NaN"
"BELL MODAS","19990524","1422300","46400000","3403","1","NaN","NaN","NaN","NaN"
"BELLA ARTES DECORACOES","20110908","8230001","45820090","3117","1","NaN","NaN","NaN","NaN"
"BELLA CASA","20120612","4712100","45690000","3949","1","NaN","NaN","NaN","NaN"
"BELLA DONNA","19920910","4713002","45980000","3811","1","NaN","NaN","NaN","NaN"
"BELLA LUNA","20040719","9602501","41810000","3849","1","NaN","NaN","NaN","NaN"
"BELLA MASSA DELICATESSEN","20051111","1091102","41600610","3849","3","NaN","NaN","NaN","NaN"
"BELLA RAFA","20050630","4781400","45000455","3965","1","NaN","NaN","NaN","NaN"
"BELLA SANTOS FRUTAS E VERDURAS","20020218","4724500","48601560","3781","1","NaN","NaN","NaN","NaN"
"BELLA STAR MOVEIS","19891107","4754701","48700000","3909","1","NaN","NaN","NaN","NaN"
"BELLA TRANSPORTES","20101123","4924800","41650002","3849","1","NaN","NaN","NaN","NaN"
"BELLA VISTA RESIDENCE","20140604","4120400","44077005","3515","5","NaN","NaN","NaN","NaN"
"BELLAFISIO","20110913","8650004","42850000","3087","1","NaN","NaN","NaN","NaN"
"BELLU'S HORT&GRANJA","20070921","1095300","48895000","3029","1","NaN","NaN","NaN","NaN"
"BELLUS PAES DELICATESSEN","19960531","1091102","40300315","3849","1","NaN","NaN","NaN","NaN"
"BELMONTE EMPREENDIMENTOS IMOBILIARIOS","20051201","4110700","45800000","3367","5","NaN","NaN","NaN","NaN"
"BELO FRIO","20110819","3314707","42700130","3685","1","NaN","NaN","NaN","NaN"
"BEM BOM BARATO","19900808","4712100","46835000","3011","1","NaN","NaN","NaN","NaN"
"BEM RURAL SHOPPING","19931028","4789004","45810000","3807","1","NaN","NaN","NaN","NaN"
"BEM VIVER SAUDE","20080612","8630503","46300000","3399","1","NaN","NaN","NaN","NaN"
"BEMATEL","19810811","2511000","45995044","3993","1","NaN","NaN","NaN","NaN"
"BEMSTAR ACADEMIA","20110411","9313100","45190000","3801","1","NaN","NaN","NaN","NaN"
"BENCAR","20031229","4530703","46430000","3533","1","NaN","NaN","NaN","NaN"
"BENE LANCHES","20140610","5611203","44550000","3881","1","NaN","NaN","NaN","NaN"
"BENEDITO MOVEIS E ALUMINIO","20020128","4754701","44655000","3981","1","NaN","NaN","NaN","NaN"
"BENIM SERVICOS MEDICOS LTDA ME","20100104","8610102","40155150","3849","1","NaN","NaN","NaN","NaN"
"BENNETT REPRESENTACOES","19910225","4616800","45204040","3661","1","NaN","NaN","NaN","NaN"
"BEPEX","20020111","1510600","45200191","3661","1","NaN","NaN","NaN","NaN"
"BERERE MATERIAIS DE CONSTRUCAO","19990121","4744005","47600000","3377","1","NaN","NaN","NaN","NaN"
"BERG CELULAR","20070314","4752100","44790000","3419","1","NaN","NaN","NaN","NaN"
"BERGS LABORATORIAL","20091124","3312102","40415110","3849","1","NaN","NaN","NaN","NaN"
"BERIMBAU LANCHES","19910510","5611203","45653000","3573","1","NaN","NaN","NaN","NaN"
"BERIMBAU ORGANICOS","19960530","9499500","44245000","3469","5","NaN","NaN","NaN","NaN"
"BERINJELA GRILL","20081114","5611201","41820020","3849","1","NaN","NaN","NaN","NaN"
"BERNARDO TRISTAO ODONTOLOGIA INTEGRADA","20120420","8630504","45936000","3741","1","NaN","NaN","NaN","NaN"
"BERTELLI & ROVOLETTO","20081120","6810202","41810012","3849","5","NaN","NaN","NaN","NaN"
"BERTHOLDI LAVANDERIA","20040402","9601701","45810000","3807","1","NaN","NaN","NaN","NaN"
"BERTONI' S","20051004","5611204","41830050","3849","1","NaN","NaN","NaN","NaN"
"BESOURAO AUTO PECAS","20100106","4530704","44002748","3515","1","NaN","NaN","NaN","NaN"
"BESTBIKE SHOP","20110908","4763603","41830020","3849","1","NaN","NaN","NaN","NaN"
"BETEL 5","20030603","4771701","45860000","3425","1","NaN","NaN","NaN","NaN"
"BETEL EMPREENDIMENTOS","20120229","4772500","45360000","3711","1","NaN","NaN","NaN","NaN"
"BETH E MILLE","20031120","4755503","46875000","3283","1","NaN","NaN","NaN","NaN"
"BETO BIKE II","20031009","4763603","46100000","3391","3","NaN","NaN","NaN","NaN"
"BETO ELETRONICA","20080728","4757100","45025080","3965","1","NaN","NaN","NaN","NaN"
"BETO PECAS AUTOMOTIVAS","19920213","4530703","43810271","3429","1","NaN","NaN","NaN","NaN"
"BETO PRODUCOES","20040324","8230001","45652304","3573","1","NaN","NaN","NaN","NaN"
"BETO TRANSPORTES","20090727","4930204","44700000","3651","1","NaN","NaN","NaN","NaN"
"BETUNEL","20010824","4684299","41820770","3849","5","NaN","NaN","NaN","NaN"
"BETY CALCADOS","20090810","4782201","44830000","3797","1","NaN","NaN","NaN","NaN"
"BEZERRA DE ARAUJO REPRESENTACOES","19930120","8130300","41820020","3849","1","NaN","NaN","NaN","NaN"
"BEZERRA REPRESENTACOES","19900206","4781400","44032610","3515","1","NaN","NaN","NaN","NaN"
"BF BEST FRUIT","19950824","151201","47600000","3377","3","NaN","NaN","NaN","NaN"
"BF ESMAGADORA DE OLEAGINOSAS LTDA","20071019","2013402","47850000","1112","1","NaN","NaN","NaN","NaN"
"BFC SALVADOR SHOPPING","20070321","7911200","41820021","3849","3","NaN","NaN","NaN","NaN"
"BFG","20100924","8291100","40050000","3849","1","NaN","NaN","NaN","NaN"
"BHM TRANSPORTADORA E LOCADORA","20030417","4930202","44590000","3869","1","NaN","NaN","NaN","NaN"
"BIA CALCADOS","19830718","4782201","45836000","3613","1","NaN","NaN","NaN","NaN"
"BIA CONSTRUCOES","20120116","4120400","45710000","3643","1","NaN","NaN","NaN","NaN"
"BIA MODAS E ACESSORIOS","20080826","4781400","47970000","3825","1","NaN","NaN","NaN","NaN"
"BIBOKA LANCHONETE","19940201","5611203","45653120","3573","3","NaN","NaN","NaN","NaN"
"BICHO P ECOTURISMO","20120214","7911200","45530000","3599","1","NaN","NaN","NaN","NaN"
"BICHO SOM","20080112","4530703","48280000","3721","1","NaN","NaN","NaN","NaN"
"BICHOS E CAPRICHOS","20040629","4789004","40290000","3849","1","NaN","NaN","NaN","NaN"
"BICICLETARIA CALUAM","19971117","4763603","45603595","3597","1","NaN","NaN","NaN","NaN"
"BICICLETARIA CENTRAL","20090710","4763603","48180000","3509","1","NaN","NaN","NaN","NaN"
"BICICLETARIA JS","19920220","4763603","45360000","3711","1","NaN","NaN","NaN","NaN"
"BICICLETARIA JS","20050913","4763603","45360000","3711","1","NaN","NaN","NaN","NaN"
"BICICLETAS & CIA","19980413","4763603","47900000","3487","1","NaN","NaN","NaN","NaN"
"BICICLOED","20010309","4541206","42827662","3413","1","NaN","NaN","NaN","NaN"
"BICIMOTO PECAS","19800731","4541206","40445170","3849","1","NaN","NaN","NaN","NaN"
"BIG 10","20100826","7490104","45990289","3993","1","NaN","NaN","NaN","NaN"
"BIG ACESSORIOS","20040413","4530703","47530000","3765","1","NaN","NaN","NaN","NaN"
"BIG ACO COMERCIO DE ACO","20110126","4744099","42804780","3413","1","NaN","NaN","NaN","NaN"
"BIG BOM","20140526","4520005","45580000","3559","1","NaN","NaN","NaN","NaN"
"BIG FRANGO","20020822","4729699","42700130","3685","1","NaN","NaN","NaN","NaN"
"BIG LANCHE","20051026","4712100","41150000","3849","1","NaN","NaN","NaN","NaN"
"BIGOS LANCHES","20010124","5611203","46500000","3697","1","NaN","NaN","NaN","NaN"
"BIGU - AUTO PECAS","20040426","4530703","45658630","3573","1","NaN","NaN","NaN","NaN"
"BIJU VARIEDADES","20100324","4755502","42700130","3685","1","NaN","NaN","NaN","NaN"
"BIJUTIK","20080730","4789001","41235000","3849","1","NaN","NaN","NaN","NaN"
"BIKE & CIA","20081028","4763603","48050040","3313","1","NaN","NaN","NaN","NaN"
"BIKE CICLO","19950516","4763603","42804539","3413","1","NaN","NaN","NaN","NaN"
"BIKE SHOP MOVEIS","19900910","4754701","45860000","3425","1","NaN","NaN","NaN","NaN"
"BIKE TOTAL","20001114","4763603","45065000","3965","3","NaN","NaN","NaN","NaN"
"BIL MODAS","20111005","4781400","48400000","3833","1","NaN","NaN","NaN","NaN"
"BILA MECANICA RODOVIARIA","20090810","4520001","42850000","3087","1","NaN","NaN","NaN","NaN"
"BILLA BOUTIQUE","20111026","4781400","41342315","3849","1","NaN","NaN","NaN","NaN"
"BILU BABY","20050216","4761003","45360000","3711","3","NaN","NaN","NaN","NaN"
"BILUTA TURISMO","20090824","7911200","47200000","3821","1","NaN","NaN","NaN","NaN"
"BIMA GAS","19950210","4784900","45604070","3597","1","NaN","NaN","NaN","NaN"
"BIMBOKA","19960916","4729699","44700000","3651","1","NaN","NaN","NaN","NaN"
"BINBLOX","20091215","4743100","45000315","3965","1","NaN","NaN","NaN","NaN"
"BINHA ACESSORIOS","20090527","4530703","45023000","3965","1","NaN","NaN","NaN","NaN"
"BINHO DO GAS","20010601","4784900","44200000","3871","3","NaN","NaN","NaN","NaN"
"BINHO MOTOS","20020502","4541206","46100000","3391","1","NaN","NaN","NaN","NaN"
"BINOVALDO TRANSPORTE","20041105","4930202","44755000","3021","1","NaN","NaN","NaN","NaN"
"BIO ANALISES LABORATORIO DE ANALISES CLINICAS","19901031","8640202","48602570","3781","3","NaN","NaN","NaN","NaN"
"BIO DAGNOSE LABORATORIO DE ANALISE CLINICAS","19960725","8640202","43700000","3913","1","NaN","NaN","NaN","NaN"
"BIOAGUA","20090630","4789099","40430320","3849","1","NaN","NaN","NaN","NaN"
"BIOANALISE","19960208","8640202","48700000","3909","1","NaN","NaN","NaN","NaN"
"BIOCLINICA","19911015","8630503","40725110","3849","1","NaN","NaN","NaN","NaN"
"BIODIESEL","20070822","7112000","40015070","3849","1","NaN","NaN","NaN","NaN"
"BIOFABRICA VIVEIRO - UNA","20050922","9430800","45690000","3949","5","NaN","NaN","NaN","NaN"
"BIOFARMA","19890313","4771702","45985160","3993","1","NaN","NaN","NaN","NaN"
"BIOFIT ACADEMIA","20080609","9313100","45602350","3597","1","NaN","NaN","NaN","NaN"
"BIOFORMULA","19960312","4771702","45820430","3117","1","NaN","NaN","NaN","NaN"
