"nome_fantasia","data_inicio_atividades","cnae_fiscal","cep","municipio","porte","dist_1","dist_2","dist_3","dist_4"
"PRINTCOPY COPIADORA","19961018","8219901","41820000","3849","3","NaN","NaN","NaN","NaN"
"PRISCILA CABELEIREIRA","20100329","9602501","40375016","3849","1","NaN","NaN","NaN","NaN"
"PRISCILA CRUZ","20140602","9602502","44460000","3623","1","NaN","NaN","NaN","NaN"
"PRISCILA UTILIDADES","20080701","4713002","44900000","3593","1","NaN","NaN","NaN","NaN"
"PRISMA CONSTRUTORA","20070803","7732201","47802273","3363","3","NaN","NaN","NaN","NaN"
"PRISMA CONSULTORIA","20031117","6920601","45826660","3117","1","NaN","NaN","NaN","NaN"
"PRISMA VEICULOS","20051010","4512902","44051005","3515","1","NaN","NaN","NaN","NaN"
"PRIVILLEGE EVENTOS","20110218","9319101","41650195","3849","1","NaN","NaN","NaN","NaN"
"PRO FITNESS","20031028","8219999","44245000","3469","1","NaN","NaN","NaN","NaN"
"PRO IMAGEM","19961113","8640205","41760010","3849","1","NaN","NaN","NaN","NaN"
"PRO LIFE ASSESSORIA ESPORTIVA E SAUDE","20090831","9313100","42739005","3685","1","NaN","NaN","NaN","NaN"
"PRO PAPER!","20060529","1749400","40015060","3849","1","NaN","NaN","NaN","NaN"
"PRO SAUDE COMERCIO E REPRESENTACOES","20100727","2399199","42600000","3293","1","NaN","NaN","NaN","NaN"
"PRO SENIOR","20111003","8650004","41810011","3849","1","NaN","NaN","NaN","NaN"
"PRO-DIAGNOSTICO","19980828","8640202","44001496","3515","3","NaN","NaN","NaN","NaN"
"PROAS","20120511","9430800","47830000","3349","5","NaN","NaN","NaN","NaN"
"PROATIVA TRANSPORTADORA LTDA","20120302","4930202","41300140","3849","1","NaN","NaN","NaN","NaN"
"PROCAES","20030519","9609208","45012050","3965","1","NaN","NaN","NaN","NaN"
"PROCAFE","20100930","9430800","45820970","3117","5","NaN","NaN","NaN","NaN"
"PROCESSA","19871120","4110700","45200300","3661","5","NaN","NaN","NaN","NaN"
"PROCONT","19940105","6920601","41770790","3849","1","NaN","NaN","NaN","NaN"
"PROCONT ASSESSORIA CONTABIL","19901220","6920601","41820020","3849","3","NaN","NaN","NaN","NaN"
"PROCONT CONTABILIDADE E ASSESSORIA","19861216","6920601","47806041","3363","1","NaN","NaN","NaN","NaN"
"PROCORDIS","19970618","8630503","45820131","3117","5","NaN","NaN","NaN","NaN"
"PROD MED","20110201","4773300","44430672","3873","1","NaN","NaN","NaN","NaN"
"PRODADOS","20010827","8211300","45605332","3597","1","NaN","NaN","NaN","NaN"
"PRODIGITO","19931021","8888888","48970000","3901","1","NaN","NaN","NaN","NaN"
"PRODUMAR","19880512","4722902","42700130","3685","3","NaN","NaN","NaN","NaN"
"PRODUTORA PORTO MANGA","20060310","4633801","46140000","3691","1","NaN","NaN","NaN","NaN"
"PRODUTOS DE CACAU SUL AGRICOLA","19881230","4623109","45695000","3073","1","NaN","NaN","NaN","NaN"
"PRODUTOS DE PERFUMARIA","20091216","4646001","44670000","3329","1","NaN","NaN","NaN","NaN"
"PRODUTOS E COMERCIO LOMOEIRO","20001207","1111902","46446000","3275","1","NaN","NaN","NaN","NaN"
"PROEDUCAR PROJETOS EDUCACIONAIS","20051024","8211300","48890000","3959","1","NaN","NaN","NaN","NaN"
"PROFESSIONAL CLEAN","20010807","4789005","45604047","3597","1","NaN","NaN","NaN","NaN"
"PROFISIO FISIOTERAPIA","20101109","8650004","45203360","3661","1","NaN","NaN","NaN","NaN"
"PROFISSIONAL FISIO","20090330","8650004","40280901","3849","1","NaN","NaN","NaN","NaN"
"PROGEO","19890127","7119702","46640000","3645","1","NaN","NaN","NaN","NaN"
"PROGREDIR PAPELARIA E ARTIGO PARA PRESENTE","20041202","4761003","41330010","3849","1","NaN","NaN","NaN","NaN"
"PROGRESSISTAS - PP DE SAO GABRIEL - BA","20110916","9492800","44915000","3989","5","NaN","NaN","NaN","NaN"
"PROINFOR INFORMATICA","20070705","4751201","41130490","3849","1","NaN","NaN","NaN","NaN"
"PROJARB","20100914","9430800","45120000","3357","5","NaN","NaN","NaN","NaN"
"PROJECEL CONSTRUCOES E MONTAGENS","20070208","4120400","45936000","3741","1","NaN","NaN","NaN","NaN"
"PROJECTA ENGENHARIA","20001009","4120400","46500000","3697","1","NaN","NaN","NaN","NaN"
"PROJECTUS","20090519","7410202","41600720","3849","1","NaN","NaN","NaN","NaN"
"PROJESOM EQUIPAMENTOS DE SOM","20050411","4756300","44900000","3593","1","NaN","NaN","NaN","NaN"
"PROJETE CONSTRUCAO","19870129","4321500","44077190","3515","1","NaN","NaN","NaN","NaN"
"PROJETO CHIC CHIC","19990203","9103100","46830000","3325","5","NaN","NaN","NaN","NaN"
"PROJETO FLORAR","20070618","4789002","45807000","3855","1","NaN","NaN","NaN","NaN"
"PROJETO GALEAO","20100418","7721700","40130001","3849","1","NaN","NaN","NaN","NaN"
"PROJETO MENINOS DO PORTO","20060612","8512100","48180000","3509","5","NaN","NaN","NaN","NaN"
"PROJETO SOCIAL FLOR DO VALE","20050915","9430800","45480000","3749","5","NaN","NaN","NaN","NaN"
"PROJETO SOCIAL RECANTO DE DEUS","20140507","9430800","44380000","3495","5","NaN","NaN","NaN","NaN"
"PROJETO STA CATARINA","19911120","9430800","44200000","3871","5","NaN","NaN","NaN","NaN"
"PROJETO VIDA NOVA","20110908","9493600","42801560","3413","5","NaN","NaN","NaN","NaN"
"PROJETOS & EMPREENDIMENTOS","20101110","3811400","45452000","3009","1","NaN","NaN","NaN","NaN"
"PROLABOR","20000727","8650099","48903050","3669","1","NaN","NaN","NaN","NaN"
"PROLIMP","20050930","4789005","42701890","3685","3","NaN","NaN","NaN","NaN"
"PROLINK MOTOS","20110413","4541206","48370000","3511","1","NaN","NaN","NaN","NaN"
"PROMAQ","20090612","4789007","47800358","3363","1","NaN","NaN","NaN","NaN"
"PROMATEC INFORMATICA","19950327","6201501","47640000","3863","1","NaN","NaN","NaN","NaN"
"PROMED CARD PAX SANTA CRUZ","20040809","8630502","45020750","3965","5","NaN","NaN","NaN","NaN"
"PROMEDICA","20010507","8640202","43700000","3913","5","NaN","NaN","NaN","NaN"
"PROMEDICA","19891229","8630501","41810001","3849","5","NaN","NaN","NaN","NaN"
"PROMEPER","19880208","8650001","40150130","3849","3","NaN","NaN","NaN","NaN"
"PROPAG COMINUCACAO VIRTUAL","20041027","4789099","44380000","3495","1","NaN","NaN","NaN","NaN"
"PROPAO PRODUTOS DE PANIFICACAO","20100514","4721102","44245000","3469","1","NaN","NaN","NaN","NaN"
"PROPHOTO PROPAGANDA","20001201","7311400","44075115","3515","1","NaN","NaN","NaN","NaN"
"PROQUALY VIDEO E LOCADORA","19900913","4761001","40050001","3849","1","NaN","NaN","NaN","NaN"
"PRORISO LABORATORIO DE PROTESE","20050718","3250706","40285470","3849","1","NaN","NaN","NaN","NaN"
"PROSERV ENGENHARIA E PISCICULTURA LTDA","20110408","4744005","44790000","3419","1","NaN","NaN","NaN","NaN"
"PROSOLAR ENGENHARIA","20000913","4789099","42701420","3685","3","NaN","NaN","NaN","NaN"
"PROTEC PROJETOS TECNICOS E CONTABEIS","19730323","6920601","48010050","3313","1","NaN","NaN","NaN","NaN"
"PROTEC SISTEMAS","20110708","9511800","44077272","3515","1","NaN","NaN","NaN","NaN"
"PROTECAO","19890404","8630501","41100000","3849","3","NaN","NaN","NaN","NaN"
"PROTECTION","19970912","4753900","44330000","3885","1","NaN","NaN","NaN","NaN"
"PROTEFIL PROTECAO E FERRAMENTAS INDUSTRIAIS LTDA","20080404","4672900","42850000","3087","5","NaN","NaN","NaN","NaN"
"PROTEGE - EQUIPAMENTOS DE SEGURANCA","19990525","4752100","45821670","3117","1","NaN","NaN","NaN","NaN"
"PROTELIMP","20100225","8111700","41100010","3849","1","NaN","NaN","NaN","NaN"
"PROVA DO ARTISTA","19930430","4754701","40301155","3849","1","NaN","NaN","NaN","NaN"
"PROVEAGRO","19790213","4771704","44635000","3997","3","NaN","NaN","NaN","NaN"
"PROVECTO","20120208","4742300","44077015","3515","1","NaN","NaN","NaN","NaN"
"PROVENDA CORRETORA","20120315","7319002","45987000","3993","1","NaN","NaN","NaN","NaN"
"PROVOICE","20081031","8650006","41706690","3849","1","NaN","NaN","NaN","NaN"
"PRP","20000902","9492800","41820021","3849","5","NaN","NaN","NaN","NaN"
"PRP - MUCURI","20110408","9492800","45930000","3741","5","NaN","NaN","NaN","NaN"
"PRUMO PRODUCOES ARTISTICAS E CULTURAIS","20110824","9001902","45652105","3573","1","NaN","NaN","NaN","NaN"
"PS ALINHAMENTO E BALANCEAMENTO","20110822","4520004","44380000","3495","1","NaN","NaN","NaN","NaN"
"PS MOTOS","20030106","4541206","45200970","3661","1","NaN","NaN","NaN","NaN"
"PS MURETAS PRE-MOLDADAS","20100414","2330301","44052168","3515","1","NaN","NaN","NaN","NaN"
"PSB","20040609","9492800","45745000","3541","5","NaN","NaN","NaN","NaN"
